GPU,1080p Ultra,1440p Ultra,4k Ultra
GeForce RTX 4090,100.0% (151.6fps),100.0% (143.1fps),100.0% (114.1fps)
Radeon RX 7900 XTX,97.3% (147.5fps),93.4% (133.7fps),81.6% (93.0fps)
GeForce RTX 4080,94.0% (142.6fps),90.1% (129.0fps),77.8% (88.7fps)
Radeon RX 7900 XT,93.1% (141.2fps),86.9% (124.3fps),69.8% (79.6fps)
Radeon RX 6950 XT,89.6% (135.8fps),79.5% (113.7fps),59.3% (67.6fps)
GeForce RTX 4070 Ti,89.3% (135.4fps),80.5% (115.1fps),62.9% (71.8fps)
GeForce RTX 3090 Ti,87.5% (132.6fps),80.1% (114.7fps),67.0% (76.4fps)
Radeon RX 6900 XT,87.0% (132.0fps),75.9% (108.6fps),55.6% (63.5fps)
GeForce RTX 3090,84.1% (127.6fps),75.4% (107.9fps),62.3% (71.0fps)
Radeon RX 6800 XT,84.0% (127.3fps),72.0% (103.0fps),52.1% (59.4fps)
GeForce RTX 3080 Ti,83.1% (126.0fps),74.0% (105.8fps),60.6% (69.1fps)
GeForce RTX 3080 12GB,81.9% (124.2fps),72.7% (104.0fps),58.7% (67.0fps)
GeForce RTX 4070,81.5% (123.6fps),69.1% (98.9fps),50.2% (57.2fps)
GeForce RTX 3080,78.5% (119.0fps),68.5% (98.1fps),54.7% (62.4fps)
Radeon RX 6800,76.7% (116.3fps),63.1% (90.2fps),44.6% (50.9fps)
GeForce RTX 3070 Ti,69.8% (105.8fps),59.0% (84.4fps),41.8% (47.7fps)
Radeon RX 6750 XT,68.7% (104.2fps),54.3% (77.7fps),37.5% (42.8fps)
GeForce RTX 4060 Ti,67.1% (101.7fps),52.8% (75.5fps),35.2% (40.1fps)
GeForce RTX 3070,66.3% (100.5fps),55.2% (79.0fps),38.9% (44.4fps)
Radeon RX 6700 XT,66.1% (100.3fps),51.4% (73.5fps),35.3% (40.3fps)
Titan RTX,65.5% (99.3fps),55.6% (79.5fps),41.9% (47.8fps)
GeForce RTX 2080 Ti,64.7% (98.1fps),53.8% (77.0fps),39.4% (44.9fps)
GeForce RTX 3060 Ti,60.9% (92.3fps),49.6% (71.0fps), 
GeForce RTX 2080 Super,57.3% (86.8fps),46.0% (65.8fps),32.2% (36.7fps)
Radeon RX 6700 10GB,56.9% (86.2fps),43.7% (62.6fps),28.9% (32.9fps)
GeForce RTX 4060,56.0% (84.9fps),42.8% (61.2fps),27.9% (31.9fps)
GeForce RTX 2080,55.1% (83.6fps),43.9% (62.8fps), 
Radeon RX 7600,54.3% (82.3fps),40.0% (57.3fps),25.5% (29.1fps)
Radeon RX 6650 XT,52.7% (80.0fps),39.5% (56.5fps), 
GeForce RTX 2070 Super,51.6% (78.3fps),40.6% (58.1fps), 
Radeon RX 6600 XT,51.5% (78.1fps),38.6% (55.2fps), 
Intel Arc A770 16GB,50.6% (76.8fps),41.7% (59.6fps),30.7% (35.0fps)
Radeon RX 5700 XT,48.3% (73.3fps),37.1% (53.1fps),25.6% (29.3fps)
Intel Arc A770 8GB,48.3% (73.2fps),39.5% (56.5fps),28.8% (32.9fps)
GeForce RTX 3060,48.1% (73.0fps),37.7% (54.0fps), 
